INFO  - 2015-04-07 19:10:10.379; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2015-04-07 19:10:10.436; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2015-04-07 19:10:10.872; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2015-04-07 19:10:10.950; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-04-07 19:10:10.956; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-04-07 19:10:11.059; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2015-04-07 19:10:11.065; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/collection1/, dataDir=/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/collection1/data/
INFO  - 2015-04-07 19:10:11.066; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2015-04-07 19:10:11.069; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2015-04-07 19:10:11.069; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2015-04-07 19:10:11.078; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/collection1/data
INFO  - 2015-04-07 19:10:11.078; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/collection1/data/index/
WARN  - 2015-04-07 19:10:11.079; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2015-04-07 19:10:11.084; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/collection1/data/index
INFO  - 2015-04-07 19:10:11.120; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-04-07 19:10:11.120; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-04-07 19:10:11.123; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2015-04-07 19:10:11.123; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2015-04-07 19:10:11.123; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2015-04-07 19:10:11.126; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2015-04-07 19:10:11.126; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
